# Telescope:  LTRT
# Description: 2.4m parabolic C-Band antenna
# Location: Glenorie, NSW, Australia
# Coordinates: 151.008 E, 33.5959 S
# Mode: cal
# Centre frequency:  3700 MHz
# Sample time (ms): 10
# Receiver Gain (dB): 5
# Observation length (s): 7200
# Local Time start:  Fri Feb 22 20:53:09 2013
# UTC start:  Fri Feb 22 09:53:09 2013
# LST start (hh:mm:ss):  06:07:01
# Source: no_lnb
# Declination (degrees): -33.6
0.00114722 32.135
0.00218611 32.1425
0.003275 32.005
0.00443056 32.08
0.00558611 32.11
0.00674167 32.095
0.00789722 32.0725
0.00905278 32.0675
0.0102083 32.0275
0.0113639 31.93
0.0125194 31.95
0.013675 32.0325
0.0148306 31.95
0.0159861 31.9225
0.0171417 31.96
0.0182972 31.7425
0.0194528 31.855
0.0206083 31.865
0.0217639 31.84
0.0229194 31.7125
0.024075 31.8675
0.0252306 31.7975
0.0263861 31.81
0.0275417 31.94
0.0287917 31.8375
0.0300611 31.84
0.0313333 31.775
0.0326028 31.7075
0.033875 31.715
0.0351472 31.435
0.0364167 31.6275
0.0376889 31.6475
0.0389583 31.6625
0.0402306 31.7475
0.0415028 31.6275
0.0427722 31.4875
0.0440444 31.47
0.0453139 31.49
0.0465861 31.4975
0.0478583 31.4775
0.0491278 31.48
0.0504 31.4125
0.0516694 31.5225
0.0529417 31.485
0.0542139 31.44
0.0554833 31.5225
0.0567556 31.185
0.058025 31.3525
0.0592972 31.4475
0.0605694 31.4325
0.0618389 31.5175
0.0631111 31.4625
0.0643806 31.275
0.0656528 31.29
0.066925 31.0625
0.0681944 31.2175
0.0694667 31.335
0.0707361 31.28
0.0720083 31.295
0.0732806 31.3425
0.07455 31.2525
0.0758222 31.1475
0.0770917 31.2575
0.0783639 31.295
0.0796361 31.195
0.0809056 31.255
0.0821778 31.3075
0.0834472 31.1725
0.0847194 31.18
0.0859917 30.9775
0.0872611 31.14
0.0885333 31.17
0.0898028 31.075
0.091075 31.0775
0.0923472 30.96
0.0936167 30.8225
0.0948889 31.03
0.0961583 30.9775
0.0974306 31.095
0.0987028 31.03
0.0999722 30.9925
0.101244 30.9475
0.102514 30.97
0.103786 30.775
0.105058 30.91
0.106328 30.8975
0.1076 30.795
0.108869 30.8
0.110142 30.5075
0.111414 30.895
0.112683 30.83
0.113956 30.8075
0.115225 30.775
0.116497 30.8275
0.117769 30.4375
0.119039 30.645
0.120311 30.7425
0.121581 30.765
0.122853 30.7475
0.124125 30.6675
0.125394 30.61
0.126667 30.6925
0.127936 30.61
0.129208 30.6525
0.130481 30.6325
0.13175 30.8125
0.133022 30.3775
0.134292 30.4775
0.135564 30.59
0.136836 30.6425
0.138106 30.69
0.139378 30.42
0.140647 30.6125
0.141919 30.5025
0.143192 30.605
0.144461 30.545
0.145733 30.69
0.147003 30.7375
0.148275 30.485
0.149547 30.505
0.150817 30.535
0.152089 30.495
0.153358 30.6875
0.154631 30.51
0.155903 30.3875
0.157172 30.4775
0.158444 30.375
0.159714 30.4275
0.160986 30.4275
0.162258 30.545
0.163528 30.435
0.1648 30.2625
0.166069 30.175
0.167342 30.295
0.168614 30.335
0.169883 30.3575
0.171156 30.235
0.172425 30.34
0.173697 30.5375
0.174969 30.145
0.176239 30.295
0.177511 30.2275
0.178781 30.2475
0.180053 30.15
0.181325 30.3975
0.182594 30.31
0.183867 30.2875
0.185136 30.3325
0.186408 30.21
0.187681 30.2075
0.18895 30.4575
0.190222 30.275
0.191492 30.1125
0.192764 30.265
0.194036 30.17
0.195306 30.115
0.196578 30.0475
0.197847 29.87
0.199119 29.8275
0.200392 30.17
0.201661 30.0975
0.202933 30.1125
0.204203 30.11
0.205475 30.1875
0.206747 29.9825
0.208017 30.0575
0.209289 29.9825
0.210558 30.0375
0.211831 30.0175
0.213103 29.97
0.214372 29.89
0.215644 29.8875
0.216914 29.705
0.218186 30.005
0.219458 30.035
0.220728 29.945
0.222 29.975
0.223269 29.9425
0.224542 29.855
0.225814 30.0675
0.227083 29.8575
0.228356 29.7575
0.229625 30.105
0.230897 29.985
0.232169 29.8675
0.233439 29.7775
0.234711 29.89
