# Telescope:  LTRT
# Description: 2.4m parabolic C-Band antenna
# Location: Glenorie, NSW, Australia
# Coordinates: 151.008 E, 33.5959 S
# Mode: cal
# Centre frequency:  3700 MHz
# Sample time (ms): 10
# Receiver Gain (dB): 5
# Observation length (s): 7200
# Local Time start:  Sat Feb 23 10:40:34 2013
# UTC start:  Fri Feb 22 23:40:34 2013
# LST start (hh:mm:ss):  19:56:42
# Source: no_rx
# Declination (degrees): -33.6
0.00126111 237.84
0.00241667 161.622
0.00365278 160.277
0.00492222 160.845
0.00619444 161.807
0.00746389 161.977
0.00873611 161.777
0.0100083 160.488
0.0112778 160.688
0.01255 160.82
0.0138222 160.818
0.0150917 160.83
0.0163639 160.277
0.0176333 160.2
0.0189056 160.212
0.020175 160.753
0.0214472 160.542
0.0227194 160.783
0.0239889 160.785
0.0252611 160.992
0.0265306 160.988
0.0278056 161.178
0.0291917 163.202
0.0305778 163.098
0.0319639 163.675
0.0333528 163.113
0.0347389 163.452
0.036125 163.617
0.0375111 163.61
0.0389 163.408
0.0402861 163.533
0.0416722 163.525
0.0430583 163.69
0.0444444 163.595
0.0458333 163.655
0.0472194 163.055
0.0486056 163.595
0.0499917 163.785
0.0513778 163.833
0.0527667 163.305
0.0541528 163.775
0.0555389 163.895
0.056925 164.075
0.0583111 164.208
0.0596972 164.307
0.0610861 163.723
0.0624722 164.015
0.0638583 164.13
0.0652444 164.383
0.0666333 164.307
0.0680194 164.225
0.0694056 164.497
0.0707917 164.173
0.0721778 164.02
0.0735639 164.292
0.0749528 164.125
0.0763389 164.185
0.077725 164.298
0.0791111 164.14
0.0805 163.93
0.0818861 164.443
0.0832722 164.18
0.0846583 164.465
0.0860444 164.005
0.0874333 164.39
0.0888194 164.145
0.0902056 164.04
0.0915917 164.4
0.0929778 164.117
0.0943667 163.895
0.0957528 164.02
0.0971389 164.372
0.098525 164.178
0.0999111 164.098
0.101297 164.202
0.102686 163.945
0.104072 163.945
0.105458 164.085
0.106844 164.17
0.108233 164.15
0.109619 163.91
0.111006 164.425
0.112392 164.398
0.113778 163.955
0.115167 164.095
0.116553 164.405
0.117939 163.992
0.119325 164.215
0.120711 163.675
0.122097 163.545
0.123486 163.898
0.124872 163.87
0.126258 163.633
0.127644 164.33
0.129033 164.268
0.130419 164.262
0.131806 164.208
0.133192 164.348
0.134578 164.557
0.135967 164.378
0.137353 164.62
0.138739 163.807
0.140125 163.712
0.141511 164.345
0.1429 164.303
0.144286 164.235
0.145672 164.07
0.147058 164.445
0.148444 164.47
0.149833 164.65
0.151219 164.325
0.152606 164.28
0.153992 164.137
0.155378 164.598
0.156764 164.525
0.158153 164.438
0.159539 164.658
0.160925 164.887
0.162311 164.62
0.1637 164.665
0.165086 165.173
0.166472 164.93
0.167858 164.577
0.169244 164.557
0.170633 164.702
0.172019 164.37
0.173406 164.6
0.174792 164.497
0.176178 164.675
0.177564 164.24
0.178953 164.49
0.180339 164.378
0.181725 164.64
