# Telescope:  LTRT
# Description: 2.4m parabolic C-Band antenna
# Location: Glenorie, NSW, Australia
# Coordinates: 151.008 E, 33.5959 S
# Mode: cal
# Centre frequency:  3700 MHz
# Sample time (ms): 10
# Receiver Gain (dB): 5
# Observation length (s): 7200
# Local Time start:  Sat Feb 23 13:20:43 2013
# UTC start:  Sat Feb 23 02:20:43 2013
# LST start (hh:mm:ss):  22:37:17
# Source: no_lnb
# Declination (degrees): -33.6
0.00114722 31.275
0.00218611 31.5425
0.003275 31.815
0.00443056 32.335
0.00558611 32.42
0.00674167 32.9625
0.00789722 33.2975
0.00905278 33.5925
0.0102083 33.8525
0.0113639 34.165
0.0125194 34.6225
0.013675 34.5975
0.0148306 35.2125
0.0159861 35.2925
0.0171417 35.3075
0.0182972 35.635
0.0194528 35.7875
0.0206083 35.9975
0.0217639 36.4275
0.0229194 36.7525
0.024075 36.95
0.0252306 37.0475
0.0263861 37.09
0.0275417 37.165
0.0287917 37.7275
0.0300611 37.95
0.0313333 37.955
0.0326028 38.05
0.033875 38.2475
0.0351472 38.63
0.0364167 38.755
0.0376889 38.7875
0.0389583 38.83
0.0402306 39.1925
0.0415028 39.3875
0.0427722 39.6875
0.0440444 39.5225
0.0453139 39.8425
0.0465861 39.9175
0.0478583 40.04
0.0491278 39.87
0.0504 40.325
0.0516694 40.6725
0.0529417 40.6175
0.0542139 40.7725
0.0554833 40.77
0.0567556 40.9575
0.058025 41.1975
0.0592972 41.425
0.0605694 41.665
0.0618389 41.395
0.0631111 41.6975
0.0643806 41.795
0.0656528 41.77
0.066925 42.04
0.0681944 42.0775
0.0694667 42.3475
0.0707361 42.4375
0.0720083 42.4475
0.0732806 42.545
0.07455 42.7675
0.0758222 42.8825
0.0770917 42.66
0.0783639 42.8575
0.0796361 43
0.0809056 43.31
0.0821778 43.32
0.0834472 43.6975
0.0847194 43.63
0.0859917 43.8025
0.0872611 43.955
0.0885333 43.89
0.0898028 44.015
0.091075 44.0875
0.0923472 44.2
0.0936167 44.2125
0.0948889 44.1325
0.0961583 44.585
0.0974306 44.565
0.0987028 44.83
0.0999722 44.7
0.101244 44.8925
0.102514 45.13
0.103786 45.1775
0.105058 44.9825
0.106328 45.2
0.1076 45.4075
0.108869 45.37
0.110142 45.6
0.111414 45.4425
0.112683 45.7725
0.113956 45.465
0.115225 45.8425
0.116497 45.755
0.117769 46.08
0.119039 45.9625
0.120311 46.1775
0.121581 46.315
0.122853 46.3125
0.124125 46.2225
0.125394 46.24
0.126667 46.4775
0.127936 46.6325
0.129208 46.815
0.130481 46.5475
0.13175 46.4925
0.133022 46.7175
0.134292 46.8025
0.135564 46.9925
0.136836 46.9
0.138106 47.245
0.139378 47.095
0.140647 47.2675
0.141919 47.395
0.143192 47.33
0.144461 47.425
0.145733 47.5575
0.147003 47.4725
0.148275 47.6725
0.149547 47.8025
0.150817 47.6825
0.152089 47.64
0.153358 47.6925
0.154631 47.845
0.155903 48.0875
0.157172 47.825
0.158444 48.0675
0.159714 48.0675
0.160986 47.9875
0.162258 47.9775
0.163528 48.2075
0.1648 48.0425
0.166069 48.5125
0.167342 48.44
0.168614 48.185
0.169883 48.175
0.171156 48.6225
0.172425 48.57
0.173697 48.5975
0.174969 48.5925
0.176239 48.8325
0.177511 48.9075
0.178781 48.7475
0.180053 48.895
0.181325 48.8575
0.182594 48.8875
0.183867 48.84
0.185136 48.885
0.186408 49.13
0.187681 49.1275
0.18895 49.335
0.190222 49.25
0.191492 49.27
0.192764 49.2475
0.194036 49.1925
0.195306 49.425
0.196578 49.2875
0.197847 49.3175
0.199119 49.7675
0.200392 49.545
0.201661 49.7025
0.202933 49.7
0.204203 49.8625
0.205475 49.715
0.206747 49.8825
0.208017 49.9675
0.209289 50.0775
0.210558 49.8025
0.211831 49.98
0.213103 50.1125
0.214372 50.045
0.215644 50.1125
0.216914 50.11
0.218186 50.335
0.219458 50.205
0.220728 50.35
0.222 50.5375
0.223269 50.485
0.224542 50.4
0.225814 50.2975
0.227083 50.45
0.228356 50.6725
0.229625 50.4775
0.230897 50.695
0.232169 50.38
0.233439 50.765
0.234711 51.115
0.235981 50.865
0.237253 50.85
0.238525 50.6975
0.239794 50.98
0.241067 50.87
0.242336 51.1525
0.243608 51.06
0.244881 51.055
0.24615 51.0725
0.247422 51.15
0.248692 51.1625
0.249964 51.36
0.251236 51.3175
0.252506 51.1175
0.253778 51.25
0.255047 51.3925
0.256319 51.5
0.257592 51.6375
0.258861 51.5125
0.260133 51.83
0.261403 51.39
0.262675 51.8075
0.263947 51.79
0.265217 51.7625
0.266489 51.775
0.267758 51.7
0.269031 51.7
0.270303 51.8125
0.271572 51.95
0.272844 51.8975
0.274114 51.78
0.275386 51.9275
0.276658 52.14
0.277942 52.1425
0.279328 52.1525
0.280717 52.0925
0.282103 52.09
0.283489 52.14
0.284875 52.1375
0.286261 52.2825
0.28765 52.2225
0.289036 52.235
0.290422 52.4475
0.291808 52.53
0.293194 52.6325
0.294583 52.425
0.295969 52.95
0.297356 52.67
0.298742 52.615
0.300128 52.805
0.301514 52.96
0.302903 52.785
0.304289 52.81
0.305675 53.07
0.307061 52.8875
0.30845 52.8025
0.309836 52.925
0.311222 52.8025
0.312608 52.8125
0.313994 52.91
0.315383 53.4475
0.316769 53.1975
0.318156 53.14
0.319542 53.18
0.320928 53.12
0.322314 53.5275
0.323703 53.2475
0.325089 53.2775
0.326475 53.245
0.327861 53.33
0.32925 53.1675
0.330636 53.3375
0.332022 53.095
0.333408 53.4725
0.334794 53.435
0.336183 53.445
0.337569 53.795
0.338956 53.5
0.340342 53.49
0.341728 53.5375
0.343114 53.7925
0.344503 53.525
0.345889 54.165
0.347275 53.9025
0.348661 53.68
0.35005 53.5875
0.351436 53.8175
0.352822 53.675
0.354208 54.1225
0.355594 53.9
0.356983 54.1175
0.358369 53.9125
0.359756 54.055
0.361142 54.2375
0.362528 53.935
0.363914 53.9225
0.365303 54.0825
0.366689 54.255
0.368075 54.185
0.369461 53.8075
0.37085 54.0575
0.372236 54.14
0.373622 54.1625
0.375008 54.465
0.376394 54.225
0.377783 54.31
0.379169 54.4175
0.380556 54.295
0.381942 54.1425
0.383328 54.42
0.384714 54.4175
0.386103 54.5875
0.387489 54.2275
0.388875 54.55
0.390261 54.37
0.39165 54.3025
0.393036 54.5475
0.394422 54.5375
0.395808 54.4575
0.397194 54.415
0.398583 54.67
0.399969 54.3525
0.401356 54.41
0.402742 54.8925
0.404128 54.8575
0.405514 54.7775
0.406903 54.7425
0.408289 54.48
0.409675 54.5975
0.411061 55.035
0.412447 54.8575
